split,model,accuracy,f1_macro,auc_ovr_macro
validation,xgboost_tuned,0.5954635000547226,0.5379050362565488,0.8302789054093536
test,xgboost_tuned,0.5557317873550646,0.4405574897816917,0.686663405606648
